,id,handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,lang,retweet_count,favorite_count,longitude,latitude,place_id,place_full_name,place_name,place_type,place_country_code,place_country,place_contained_within,place_attributes,place_bounding_box,source_url,truncated,entities,extended_entities
12,780863218646474757,realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH",FALSE,,2016-09-27T20:14:33,,,,FALSE,en,3833,9840,,,,,,,,,,,,http://twitter.com/download/iphone,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'bit.ly/2d4cDe8', 'expanded_url': 'http://bit.ly/2d4cDe8', 'indices': [88, 111], 'url': 'https://t.co/zhkEfUouHH'}], 'hashtags': []}",
19,780832403392790529,HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",FALSE,,2016-09-27T18:12:06,HillaryClinton,"7,81E+32",1339835893.0,FALSE,en,1437,5053,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'LoveTrumpsHate', 'indices': [109, 124]}]}",
26,780827541670076416,HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",FALSE,,2016-09-27T17:52:47,HillaryClinton,"7,81E+32",1339835893.0,FALSE,en,557,1633,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'hrc.io/2cTb7Gg', 'expanded_url': 'http://hrc.io/2cTb7Gg', 'indices': [57, 80], 'url': 'https://t.co/86sTOCAkkq'}], 'hashtags': []}",
28,780825360611086336,HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",FALSE,,2016-09-27T17:44:07,HillaryClinton,"7,81E+32",1339835893.0,FALSE,en,556,1546,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'IWillVote.com', 'expanded_url': 'http://IWillVote.com', 'indices': [108, 131], 'url': 'https://t.co/tTgeqxNqYm'}], 'hashtags': []}",
38,780802294002647040,HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs",FALSE,,2016-09-27T16:12:28,,,,FALSE,en,4829,7580,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'media': [{'display_url': 'pic.twitter.com/LJPlFegSTs', 'sizes': {'medium': {'h': 675, 'resize': 'fit', 'w': 1200}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}, 'large': {'h': 720, 'resize': 'fit', 'w': 1280}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'expanded_url': 'https://twitter.com/HillaryClinton/status/780414643516780544/video/1', 'indices': [103, 126], 'id': 779283252062351360, 'url': 'https://t.co/LJPlFegSTs', 'source_status_id_str': '780414643516780544', 'source_user_id_str': '1339835893', 'source_status_id': 780414643516780544, 'id_str': '779283252062351360', 'source_user_id': 1339835893, 'media_url_https': 'https://pbs.twimg.com/media/CtCSNOoWYAAG96x.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtCSNOoWYAAG96x.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/LJPlFegSTs', 'sizes': {'medium': {'h': 675, 'resize': 'fit', 'w': 1200}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}, 'large': {'h': 720, 'resize': 'fit', 'w': 1280}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'expanded_url': 'https://twitter.com/HillaryClinton/status/780414643516780544/video/1', 'indices': [103, 126], 'id': 779283252062351360, 'url': 'https://t.co/LJPlFegSTs', 'video_info': {'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/779283252062351360/vid/640x360/t3G8IHa3eQqrRW-1.mp4'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/779283252062351360/vid/320x180/cSEj901W2mpvVPIZ.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/779283252062351360/pl/bSPjI4Wo7buSt-Tz.m3u8'}, {'content_type': 'application/dash+xml', 'url': 'https://video.twimg.com/amplify_video/779283252062351360/pl/bSPjI4Wo7buSt-Tz.mpd'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/779283252062351360/vid/1280x720/FspJeQcfHI1VwSjE.mp4'}], 'aspect_ratio': [16, 9], 'duration_millis': 30030}, 'source_status_id_str': '780414643516780544', 'source_user_id_str': '1339835893', 'source_status_id': 780414643516780544, 'id_str': '779283252062351360', 'source_user_id': 1339835893, 'additional_media_info': {'title': '', 'monetizable': False, 'embeddable': True, 'call_to_actions': {'visit_site': {'url': 'http://hrc.io/2dmwd0O'}}, 'description': '', 'source_user': {'profile_text_color': '000000', 'is_translator': False, 'listed_count': 31646, 'contributors_enabled': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'screen_name': 'HillaryClinton', 'profile_image_url': 'http://pbs.twimg.com/profile_images/750300510264107008/G8-PA5KA_normal.jpg', 'followers_count': 9157210, 'notifications': False, 'lang': 'en', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'HillaryClinton.com', 'expanded_url': 'http://HillaryClinton.com', 'indices': [0, 23], 'url': 'https://t.co/xhPHAcvdoc'}]}}, 'is_translation_enabled': False, 'default_profile': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1339835893/1473006729', 'protected': False, 'verified': True, 'location': 'New York, NY', 'profile_use_background_image': False, 'friends_count': 752, 'time_zone': 'Eastern Time (US & Canada)', 'profile_background_color': '0057B8', 'id': 1339835893, 'url': 'https://t.co/xhPHAcvdoc', 'following': True, 'default_profile_image': False, 'profile_background_tile': False, 'utc_offset': -14400, 'statuses_count': 8426, 'follow_request_sent': False, 'description': 'Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed –H', 'created_at': 'Tue Apr 09 18:04:35 +0000 2013', 'name': 'Hillary Clinton', 'profile_sidebar_border_color': '000000', 'profile_link_color': '0057B8', 'favourites_count': 1170, 'id_str': '1339835893', 'geo_enabled': True, 'profile_sidebar_fill_color': '000000', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/750300510264107008/G8-PA5KA_normal.jpg', 'has_extended_profile': True}}, 'media_url_https': 'https://pbs.twimg.com/media/CtCSNOoWYAAG96x.jpg', 'type': 'video', 'media_url': 'http://pbs.twimg.com/media/CtCSNOoWYAAG96x.jpg'}]}"
42,780796008854876160,realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",FALSE,,2016-09-27T15:47:29,,,,FALSE,en,13576,27245,,,,,,,,,,,,http://twitter.com/download/iphone,TRUE,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780796008854876160', 'indices': [103, 126], 'url': 'https://t.co/DV1BKMwHEM'}], 'hashtags': [{'text': 'AmericaFirst', 'indices': [71, 84]}, {'text': 'MAGA', 'indices': [85, 90]}, {'text': 'ImWithYou', 'indices': [91, 101]}]}",
74,780607486516690944,HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,TRUE,TheAtlantic,2016-09-27T03:18:22,,,,FALSE,en,2277,6913,,,,,,,,,,,,http://twitter.com,FALSE,"{'media': [{'display_url': 'pic.twitter.com/4P3f6pNXB3', 'sizes': {'large': {'h': 640, 'resize': 'fit', 'w': 960}, 'small': {'h': 453, 'resize': 'fit', 'w': 680}, 'medium': {'h': 640, 'resize': 'fit', 'w': 960}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'expanded_url': 'https://twitter.com/TheAtlantic/status/780606225511768064/photo/1', 'indices': [84, 107], 'id': 780606222500241408, 'url': 'https://t.co/4P3f6pNXB3', 'source_status_id_str': '780606225511768064', 'source_user_id_str': '35773039', 'source_status_id': 780606225511768064, 'id_str': '780606222500241408', 'source_user_id': 35773039, 'media_url_https': 'https://pbs.twimg.com/media/CtVFOTmWIAAGo1S.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtVFOTmWIAAGo1S.jpg'}], 'user_mentions': [{'id_str': '35773039', 'name': 'The Atlantic', 'id': 35773039, 'screen_name': 'TheAtlantic', 'indices': [3, 15]}], 'symbols': [], 'urls': [{'display_url': 'theatln.tc/2cziVRt', 'expanded_url': 'http://theatln.tc/2cziVRt', 'indices': [60, 83], 'url': 'https://t.co/OhN5ZjCu2G'}], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/4P3f6pNXB3', 'sizes': {'large': {'h': 640, 'resize': 'fit', 'w': 960}, 'small': {'h': 453, 'resize': 'fit', 'w': 680}, 'medium': {'h': 640, 'resize': 'fit', 'w': 960}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'expanded_url': 'https://twitter.com/TheAtlantic/status/780606225511768064/photo/1', 'indices': [84, 107], 'id': 780606222500241408, 'url': 'https://t.co/4P3f6pNXB3', 'source_status_id_str': '780606225511768064', 'source_user_id_str': '35773039', 'source_status_id': 780606225511768064, 'id_str': '780606222500241408', 'source_user_id': 35773039, 'media_url_https': 'https://pbs.twimg.com/media/CtVFOTmWIAAGo1S.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtVFOTmWIAAGo1S.jpg'}]}"
80,780600065945657344,HillaryClinton,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,TRUE,machadooficial,2016-09-27T02:48:53,,,,FALSE,es,11939,22707,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [{'id_str': '229228300', 'name': 'Alicia Machado', 'id': 229228300, 'screen_name': 'machadooficial', 'indices': [3, 18]}, {'id_str': '1339835893', 'name': 'Hillary Clinton', 'id': 1339835893, 'screen_name': 'HillaryClinton', 'indices': [35, 50]}], 'symbols': [], 'urls': [], 'hashtags': []}",
82,780598650628169729,HillaryClinton,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,FALSE,,2016-09-27T02:43:15,,,,FALSE,en,5065,16336,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'hrc.io/2cRhEBi', 'expanded_url': 'http://hrc.io/2cRhEBi', 'indices': [115, 138], 'url': 'https://t.co/ATqqxWU0Hc'}], 'hashtags': []}",
83,780598541441912832,realDonaldTrump,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",FALSE,,2016-09-27T02:42:49,,,,FALSE,en,8575,19522,,,,,,,,,,,,http://twitter.com/download/iphone,FALSE,"{'user_mentions': [{'id_str': '1339835893', 'name': 'Hillary Clinton', 'id': 1339835893, 'screen_name': 'HillaryClinton', 'indices': [1, 16]}], 'symbols': [], 'urls': [{'display_url': 'donaldjtrump.com/press-releases…', 'expanded_url': 'https://www.donaldjtrump.com/press-releases/clintons-nuclear-agreement-paved-the-way-for-the-400-million-ransom-payment', 'indices': [100, 123], 'url': 'https://t.co/qfZTx6aKYs'}], 'hashtags': [{'text': 'DebateNight', 'indices': [87, 99]}]}",
88,780596663345905664,HillaryClinton,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",FALSE,,2016-09-27T02:35:21,,,,FALSE,en,20652,46042,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'debatenight', 'indices': [128, 140]}]}",
138,780577128005963776,HillaryClinton,"Economists project that Trump’s plans would add more than $5,000,000,000,000 to the national debt. That's ""trillion"" with a ""T.""",FALSE,,2016-09-27T01:17:44,,,,FALSE,en,3322,6308,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",
144,780575611085582336,HillaryClinton,There's only one candidate on stage who will support working families. #DebateNight https://t.co/uOV7JC9uQC,FALSE,,2016-09-27T01:11:42,,,,FALSE,en,3732,7138,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'media': [{'display_url': 'pic.twitter.com/uOV7JC9uQC', 'expanded_url': 'https://twitter.com/HillaryClinton/status/780575611085582336/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 1200, 'resize': 'fit', 'w': 1200}, 'large': {'h': 1200, 'resize': 'fit', 'w': 1200}, 'small': {'h': 680, 'resize': 'fit', 'w': 680}}, 'id_str': '780575200060604416', 'indices': [84, 107], 'id': 780575200060604416, 'url': 'https://t.co/uOV7JC9uQC', 'media_url_https': 'https://pbs.twimg.com/media/CtUpAkAXgAAf7fX.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtUpAkAXgAAf7fX.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'DebateNight', 'indices': [71, 83]}]}","{'media': [{'display_url': 'pic.twitter.com/uOV7JC9uQC', 'expanded_url': 'https://twitter.com/HillaryClinton/status/780575611085582336/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 1200, 'resize': 'fit', 'w': 1200}, 'large': {'h': 1200, 'resize': 'fit', 'w': 1200}, 'small': {'h': 680, 'resize': 'fit', 'w': 680}}, 'id_str': '780575200060604416', 'indices': [84, 107], 'id': 780575200060604416, 'url': 'https://t.co/uOV7JC9uQC', 'media_url_https': 'https://pbs.twimg.com/media/CtUpAkAXgAAf7fX.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtUpAkAXgAAf7fX.jpg'}]}"
158,780495540521955329,HillaryClinton,"Trump told 31 outright lies just last week.

Keep him honest at tonight's debate: Follow @TheBriefing2016 to get th… https://t.co/m1WyJ3DJqF",FALSE,,2016-09-26T19:53:32,,,,FALSE,en,10152,18575,,,,,,,,,,,,https://studio.twitter.com,TRUE,"{'user_mentions': [{'id_str': '3232054991', 'name': 'The Briefing', 'id': 3232054991, 'screen_name': 'TheBriefing2016', 'indices': [89, 105]}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780495540521955329', 'indices': [117, 140], 'url': 'https://t.co/m1WyJ3DJqF'}], 'hashtags': []}",
181,780146068990357508,HillaryClinton,Take it from those who have been there - Trump is not ready for the responsibility of being president: https://t.co/MCmcwcOwju,TRUE,JoeBiden,2016-09-25T20:44:51,,,,FALSE,en,7563,12670,,,,,,,,,,,,http://twitter.com,FALSE,"{'user_mentions': [{'id_str': '939091', 'name': 'Joe Biden', 'id': 939091, 'screen_name': 'JoeBiden', 'indices': [3, 12]}], 'symbols': [], 'urls': [{'display_url': 'hrc.io/2d1oTto', 'expanded_url': 'http://hrc.io/2d1oTto', 'indices': [117, 140], 'url': 'https://t.co/MCmcwcOwju'}], 'hashtags': []}",
185,780107005793071104,HillaryClinton,7 ways Hillary's policies would help you in your daily life: https://t.co/f7oDXlVyx6,FALSE,,2016-09-25T18:09:38,,,,FALSE,en,1563,3129,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'hrc.io/2cNEMk4', 'expanded_url': 'http://hrc.io/2cNEMk4', 'indices': [61, 84], 'url': 'https://t.co/f7oDXlVyx6'}], 'hashtags': []}",
195,779830115643617280,HillaryClinton,"The new @NMAAHC is an overdue tribute to African American history. Let's build a more open, inclusive future by reflecting on our past. -H",FALSE,,2016-09-24T23:49:22,,,,FALSE,en,3487,11181,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [{'id_str': '36972997', 'name': 'Smithsonian NMAAHC', 'id': 36972997, 'screen_name': 'NMAAHC', 'indices': [8, 15]}], 'symbols': [], 'urls': [], 'hashtags': []}",
217,779445994987610112,HillaryClinton,"""Donald Trump committed perjury. Or he looked into the faces of the Republican faithful and knowingly lied."" https://t.co/enl4NTjdX4",FALSE,,2016-09-23T22:23:01,,,,FALSE,en,4617,6886,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,FALSE,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'hrc.io/2dgqWYk', 'expanded_url': 'http://hrc.io/2dgqWYk', 'indices': [109, 132], 'url': 'https://t.co/enl4NTjdX4'}], 'hashtags': []}",